lag_ns,ITS1,ITS2,ITS3,ITS4,ITS5
0.100000,39.911617,32.740533,21.204195,14.264867,13.324724
0.300000,111.102096,58.511273,47.523670,32.415077,29.412301
0.500000,202.900743,82.517444,66.480375,44.991764,41.133227
0.700000,281.544364,97.989386,77.685826,51.558658,47.469506
0.900000,355.514121,105.399682,82.076010,56.054724,53.056374
1.100000,445.066471,117.778672,90.141533,62.498463,57.625605
1.300000,518.993443,124.005144,95.164724,65.387417,58.450094
1.500000,553.193647,128.180031,95.718642,68.020205,60.417373
1.700000,589.831043,134.953849,98.453011,70.908758,61.294686
1.900000,576.968980,140.087389,103.097256,71.814990,60.512709
2.100000,602.313855,143.150565,103.723052,73.814546,61.521511
2.300000,578.877526,144.649744,106.211431,73.666634,61.657250
2.500000,605.665035,147.641317,107.216844,74.162104,63.172350
2.700000,594.183216,146.786349,107.614926,74.477582,62.627909
2.900000,585.251179,147.330099,107.455479,74.930285,63.839884
3.100000,564.407836,147.987379,108.409531,74.865718,65.145426
3.300000,526.853800,144.624851,107.838102,73.112186,64.740598
3.500000,539.047072,148.207780,107.965482,72.684281,64.864793
3.700000,526.119981,146.360424,109.099228,73.029660,66.807219
3.900000,516.220083,145.161271,110.116894,71.811994,67.111564
4.100000,503.008457,143.753799,111.608526,70.894645,67.136521
4.300000,510.328525,132.168337,112.891955,68.983314,65.615654
4.500000,490.531354,138.602336,112.134377,69.199613,67.257432
4.700000,491.065084,129.024459,110.946699,67.393295,64.633794
4.900000,474.755751,131.181122,111.874087,66.887980,66.373389
