index,eigenvalue
1.000000,0.997460
2.000000,0.991028
3.000000,0.988519
4.000000,0.983033
5.000000,0.981652
6.000000,0.975903
7.000000,0.972833
8.000000,0.970152
9.000000,0.965000
10.000000,0.962190
11.000000,0.946901
12.000000,0.944736
13.000000,0.942670
14.000000,0.931756
15.000000,0.927821
16.000000,0.925579
17.000000,0.915881
18.000000,0.906838
19.000000,0.905184
20.000000,0.898554
21.000000,0.882824
22.000000,0.873287
23.000000,0.860028
24.000000,0.854862
25.000000,0.839738
26.000000,0.832591
27.000000,0.825964
28.000000,0.806108
29.000000,0.803214
30.000000,0.797351
31.000000,0.787530
32.000000,0.770759
33.000000,0.768100
34.000000,0.740781
35.000000,0.730993
36.000000,0.727580
37.000000,0.717291
38.000000,0.710945
39.000000,0.704821
40.000000,0.692616
41.000000,0.677396
42.000000,0.672076
43.000000,0.669378
44.000000,0.650625
45.000000,0.648804
46.000000,0.641800
47.000000,0.627603
48.000000,0.623222
49.000000,0.611328
50.000000,0.609650
51.000000,0.590564
52.000000,0.586844
53.000000,0.580344
54.000000,0.572534
55.000000,0.567976
56.000000,0.559940
57.000000,0.554389
58.000000,0.541440
59.000000,0.528482
60.000000,0.510558
61.000000,0.481914
62.000000,0.475473
63.000000,0.464185
64.000000,0.462732
65.000000,0.450037
66.000000,0.447016
67.000000,0.431239
68.000000,0.413039
69.000000,0.399743
70.000000,0.396249
71.000000,0.385714
72.000000,0.365247
73.000000,0.364697
74.000000,0.351637
75.000000,0.336736
76.000000,0.327665
77.000000,0.310556
78.000000,0.305241
79.000000,0.300886
80.000000,0.297669
81.000000,0.287097
82.000000,0.279539
83.000000,0.276085
84.000000,0.250336
85.000000,0.245168
86.000000,0.238096
87.000000,0.223215
88.000000,0.222368
89.000000,0.214326
90.000000,0.210869
91.000000,0.206395
92.000000,0.198969
93.000000,0.195861
94.000000,0.178959
95.000000,0.178586
96.000000,0.177846
97.000000,0.168509
98.000000,0.164258
99.000000,0.163375
100.000000,0.151670
101.000000,0.150454
102.000000,0.144742
103.000000,0.136565
104.000000,0.130391
105.000000,0.129215
106.000000,0.128045
107.000000,0.127755
108.000000,0.126710
109.000000,0.119596
110.000000,0.113457
111.000000,0.113183
112.000000,0.113019
113.000000,0.099056
114.000000,0.098647
115.000000,0.096386
116.000000,0.094674
117.000000,0.089494
118.000000,0.076704
119.000000,0.074295
120.000000,0.072675
121.000000,0.068226
122.000000,0.067608
123.000000,0.067258
124.000000,0.066351
125.000000,0.063128
126.000000,0.062174
127.000000,0.060584
128.000000,0.059244
129.000000,0.056228
130.000000,0.052020
131.000000,0.049370
132.000000,0.048817
133.000000,0.043586
134.000000,0.041683
135.000000,0.041177
136.000000,0.037556
137.000000,0.036036
138.000000,0.029525
139.000000,0.024242
140.000000,0.023018
141.000000,0.021795
142.000000,0.021435
143.000000,0.019566
144.000000,0.013192
145.000000,0.009595
146.000000,0.007753
147.000000,0.005184
148.000000,0.000780
149.000000,0.000735
