Time_ns,WT,D111A,T110A_D111A,T60A_S63A
0.000000,0.000552,0.000434,0.000495,0.000001
0.100000,0.104756,0.114616,0.111080,0.249338
0.200000,0.193456,0.119869,0.138706,0.190644
0.300000,0.192730,0.132887,0.110025,0.245086
0.400000,0.160260,0.215250,0.169981,0.247468
0.500000,0.140769,0.231165,0.207937,0.257601
0.600000,0.182518,0.239680,0.175613,0.225995
0.700000,0.203066,0.149135,0.173780,0.246443
0.800000,0.172198,0.163094,0.124797,0.222082
0.900000,0.186413,0.186685,0.196672,0.216363
1.000000,0.165906,0.164176,2.517503,0.227575
1.100000,0.186870,0.213034,0.218769,0.230171
1.200000,0.204925,0.223483,0.201464,0.265611
1.300000,0.250950,0.221363,0.209442,0.226420
1.400000,0.203618,0.248267,0.189549,0.199550
1.500000,0.224997,0.269704,0.194265,0.242458
1.600000,0.187842,0.255868,0.207964,0.229000
1.700000,0.220760,0.315754,0.200014,0.238021
1.800000,0.188941,0.294140,0.247988,0.264044
1.900000,0.190725,0.299429,0.216506,0.215483
2.000000,0.192516,0.280521,0.218794,0.255314
2.100000,0.223426,0.228149,0.175078,0.306268
2.200000,0.268360,0.230715,0.230960,0.309078
2.300000,0.232339,0.248193,0.184861,0.297442
2.400000,0.228220,0.226623,0.178377,0.284083
2.500000,0.269529,0.216938,0.326450,0.201910
2.600000,0.277090,0.247468,0.327296,0.237416
2.700000,0.270181,0.265912,0.285753,0.224869
2.800000,0.260315,0.178807,0.268353,0.211181
2.900000,0.272324,0.206282,0.319564,0.227214
3.000000,0.265287,0.193302,0.323062,0.317410
3.100000,0.276297,0.213172,0.346286,0.290651
3.200000,0.245950,0.182880,0.329394,0.276618
3.300000,0.251370,0.224595,0.293828,0.259312
3.400000,0.232601,0.218516,0.272497,0.296375
3.500000,0.240508,0.237902,0.281320,0.296483
3.600000,0.240220,0.228978,0.258287,0.279085
3.700000,0.239401,0.236118,0.311175,0.249219
3.800000,0.249549,0.222663,0.323151,0.330472
3.900000,0.242493,0.291078,0.234134,0.384126
4.000000,0.276767,0.336737,0.191270,0.406623
4.100000,0.321453,0.241225,0.213504,0.449303
4.200000,0.256552,0.260728,0.221667,0.378820
4.300000,0.255211,0.240211,0.197986,0.431490
4.400000,0.260410,0.248790,0.180696,0.417040
4.500000,0.303725,0.230827,0.193616,0.390161
4.600000,0.301954,0.251572,0.231735,0.346964
4.700000,0.302318,0.326731,0.209249,0.509543
4.800000,0.319796,0.227833,0.220967,0.483862
4.900000,0.314518,0.224498,0.248023,0.497584
5.000000,0.313578,0.253795,0.285731,0.447631
5.100000,0.299112,0.294462,0.460177,0.417134
5.200000,0.245312,0.303921,0.407151,0.406647
5.300000,2.545636,0.292414,0.410230,0.406762
5.400000,0.272506,0.281135,0.438852,0.370330
5.500000,0.258957,0.233903,0.380989,0.399523
5.600000,0.258351,0.276633,0.419603,0.432274
5.700000,0.273014,0.248578,0.315999,0.309797
5.800000,0.222186,0.253176,0.252368,0.418143
5.900000,0.255763,0.278699,0.266543,0.349048
6.000000,0.272767,0.284512,0.290729,0.339673
6.100000,0.269372,0.302291,0.282712,0.371756
6.200000,0.284499,0.300581,0.242643,0.344028
6.300000,0.234173,0.273489,0.370769,0.304542
6.400000,0.270476,0.300271,0.342103,0.297616
6.500000,0.312098,0.243878,0.305204,0.298789
6.600000,0.270183,0.298160,0.215705,0.301085
6.700000,0.309487,0.298337,0.223859,0.320341
6.800000,2.548910,0.274322,0.280714,0.306304
6.900000,0.263472,0.321002,0.259737,0.257635
7.000000,0.243653,0.266281,0.217351,0.293411
7.100000,0.279409,0.304882,0.260570,0.298923
7.200000,0.347225,0.270138,0.250216,0.294361
7.300000,0.364259,0.310123,0.249432,0.283197
7.400000,2.576982,0.298131,0.202984,0.314796
7.500000,0.421609,0.239886,0.266312,0.295092
7.600000,0.481839,0.189992,0.244220,0.281287
7.700000,0.473469,0.217955,0.276954,0.271700
7.800000,2.521229,0.283343,0.234921,0.239947
7.900000,0.321137,0.257602,0.253573,0.274510
8.000000,0.303493,0.259869,0.232923,0.325109
8.100000,0.298498,0.210290,0.326639,0.323399
8.200000,0.299768,0.218853,0.252562,0.295514
8.300000,0.337188,0.212254,0.291825,0.325069
8.400000,0.265392,0.218323,0.283199,0.303368
8.500000,0.345646,0.203506,0.295953,0.333685
8.600000,0.355655,0.222760,0.290713,0.361143
8.700000,0.331465,0.205014,0.279509,0.349403
8.800000,0.456010,0.247899,0.238352,0.327953
8.900000,0.404118,0.202656,0.257660,0.339978
9.000000,0.436211,0.261319,0.228824,0.309507
9.100000,0.394690,0.211989,0.222405,0.306382
9.200000,0.257800,0.238535,0.310972,0.310481
9.300000,0.273471,0.262958,0.393729,0.337966
9.400000,0.274193,0.243945,0.314831,0.345817
9.500000,0.387044,0.278792,0.298270,0.288141
9.600000,0.284551,0.268167,0.274464,0.282322
9.700000,0.282597,0.249090,0.272205,0.281667
9.800000,0.320847,0.220750,2.548752,0.357411
9.900000,0.371833,0.292130,0.332421,0.331319
10.000000,0.317183,0.270151,2.555494,0.389688
10.100000,0.303736,0.288010,0.223889,0.390305
10.200000,0.356905,0.250848,0.303995,0.434462
10.300000,0.307056,0.265443,2.514314,0.333925
10.400000,0.332184,0.287655,2.524252,0.365854
10.500000,0.333758,0.301030,0.269874,0.288625
10.600000,0.290964,0.278398,2.541570,0.324168
10.700000,0.315818,0.312399,0.233685,0.314652
10.800000,2.513079,0.265277,0.267069,0.378936
10.900000,2.501908,0.291756,0.223788,0.309821
11.000000,0.366961,0.290229,0.269462,0.277345
11.100000,0.350533,0.312786,0.232276,0.278215
11.200000,0.292311,0.279122,0.222159,0.296617
11.300000,0.318071,0.249285,0.257528,0.287801
11.400000,0.318382,0.284553,0.261141,0.364832
11.500000,0.294886,0.245013,2.562753,0.342214
11.600000,0.269611,0.250279,0.192728,0.280652
11.700000,0.309103,0.285134,0.223695,0.296792
11.800000,0.258025,0.206476,0.201162,0.313940
11.900000,0.300313,0.241710,0.228600,0.343077
12.000000,0.265352,0.288190,0.237419,0.266162
12.100000,0.280782,0.300141,0.231391,0.297000
12.200000,0.297510,0.299517,0.237688,0.276647
12.300000,0.240933,0.272375,0.237216,0.220977
12.400000,0.306821,0.233717,0.249646,0.275310
12.500000,0.264501,0.228751,0.293928,0.265860
12.600000,0.274473,0.298942,0.280474,0.266997
12.700000,0.295329,0.350070,2.544431,0.303038
12.800000,0.308180,0.332297,0.284691,0.277252
12.900000,0.327992,0.300763,2.569145,0.267164
13.000000,0.283738,0.367368,0.264472,0.212923
13.100000,0.268284,0.380170,2.592672,0.264087
13.200000,0.249511,0.363916,0.332052,0.279058
13.300000,0.262543,0.299474,0.328525,0.251988
13.400000,0.308178,0.240927,2.622021,0.302377
13.500000,0.259129,0.283435,0.334261,0.261564
13.600000,0.287408,0.284558,0.307245,0.266146
13.700000,0.228424,0.249608,0.320669,0.280592
13.800000,0.241656,0.228795,0.392939,0.235994
13.900000,0.247748,0.215281,0.332549,0.271343
14.000000,0.228093,0.237197,0.283853,0.218288
14.100000,0.225730,0.194608,0.329292,0.250584
14.200000,0.208806,0.267442,0.239331,0.285839
14.300000,0.214008,0.264447,0.312876,0.262572
14.400000,0.197467,0.225287,2.597446,0.251797
14.500000,0.220825,0.238158,2.598330,0.292973
14.600000,0.255328,0.246666,2.593074,0.286435
14.700000,0.251242,0.290225,0.328357,0.268257
14.800000,0.209524,0.320282,0.335174,0.256780
14.900000,0.258854,0.328067,0.263695,0.337508
15.000000,0.227771,0.384802,0.286594,0.381923
