System,TIC1,TIC2
WT,-1.156535,0.713167
WT,-1.196497,0.662747
WT,-1.488141,0.244779
WT,-1.464230,0.328788
WT,-1.449176,0.446318
WT,-1.416202,0.580464
WT,-1.590857,0.750808
WT,-1.517865,0.719602
WT,-1.533170,0.665385
WT,-1.697312,0.706764
WT,-1.434657,0.941662
WT,-1.486161,0.778981
WT,-1.636579,0.650796
WT,-1.768014,0.652187
WT,-1.549432,0.657761
WT,-1.546897,0.616094
WT,-1.539779,0.734830
WT,-1.438091,0.836301
WT,-1.462886,0.512961
WT,-1.519998,0.504991
WT,-1.469085,0.765692
WT,-1.756614,0.698548
WT,-1.705618,0.983407
WT,-1.710766,0.467419
WT,-1.630958,0.641274
WT,-1.685131,0.529493
WT,-1.663548,0.810004
WT,-1.677863,0.282409
WT,-1.561902,0.811885
WT,-1.634622,0.680601
WT,-1.877673,0.514028
WT,-1.643850,0.556600
WT,-1.859017,0.540103
WT,-1.753374,0.692014
WT,-1.896784,0.426467
WT,-1.763411,0.343338
WT,-1.779107,0.659189
WT,-1.703966,0.307436
WT,-1.859789,0.217635
WT,-1.510001,0.573128
WT,-1.660109,0.298685
WT,-1.767119,0.237768
WT,-1.787545,0.570260
WT,-1.977695,0.140819
WT,-1.876394,0.410302
WT,-1.987290,0.159511
WT,-1.828032,0.203926
WT,-1.744768,0.185021
WT,-1.800428,0.104162
WT,-1.749086,0.133941
WT,-1.835117,0.201833
WT,-1.989134,0.140115
WT,-1.658558,0.653342
WT,-1.786315,0.167540
WT,-1.840873,0.070198
WT,-1.717536,0.250348
WT,-1.588868,0.408185
WT,-1.764023,0.078582
WT,-1.680072,0.143579
WT,-1.900237,0.424266
WT,-1.753923,0.164321
WT,-1.621483,0.213454
WT,-1.923400,0.246229
WT,-1.578385,0.234598
WT,-1.850225,0.384639
WT,-1.763084,0.200970
WT,-1.701891,0.183001
WT,-1.732702,0.207267
WT,-1.624911,0.191161
WT,-1.715292,0.194581
WT,-1.542802,0.426429
WT,-1.566204,0.600740
WT,-1.829751,0.272307
WT,-1.724020,0.308883
WT,-1.803286,0.296165
WT,-1.619397,0.252422
WT,-1.603229,0.210630
WT,-1.553185,0.189735
WT,-1.237341,-0.096837
WT,-1.274365,0.138123
WT,-1.535640,0.349480
WT,-1.463656,0.436315
WT,-1.607148,0.510189
WT,-1.854902,0.399284
WT,-1.389923,0.468883
WT,-1.581438,0.352420
WT,-1.698946,0.440521
WT,-1.450219,0.299426
WT,-1.595040,0.212969
WT,-1.349530,0.157662
WT,-1.486544,0.026399
WT,-1.608843,0.228363
WT,-1.570645,0.286141
WT,-1.352831,0.386114
WT,-1.393709,0.339290
WT,-1.739124,0.185524
WT,-1.283522,0.138941
WT,-1.023113,0.246656
WT,-1.119687,0.219422
WT,-0.907352,0.034873
WT,-0.922797,0.148256
WT,-0.977738,0.347139
WT,-1.292378,0.117098
WT,-1.174192,0.226162
WT,-1.227997,0.056104
WT,-1.140762,0.055104
WT,-1.452457,0.281453
WT,-1.454623,0.538846
WT,-1.225476,0.231538
WT,-1.501500,0.483438
WT,-1.418537,0.424056
WT,-1.614709,0.305203
WT,-1.460620,0.106896
WT,-1.537782,-0.001204
WT,-1.659403,0.123711
WT,-1.677219,0.158354
WT,-1.593453,0.311228
WT,-1.648222,0.383440
WT,-1.674183,0.231582
WT,-1.645620,0.404220
WT,-1.578737,0.628241
WT,-1.605892,0.123732
WT,-1.638717,0.105419
WT,-1.221909,0.261106
WT,-1.588976,0.270645
WT,-1.388305,0.578032
WT,-1.286147,0.466258
WT,-1.445075,0.071110
WT,-1.448288,0.358593
