System,PC1,PC2
WT,-2.143480,9.832850
WT,-2.096550,10.003010
WT,-1.613010,11.408830
WT,-1.583990,11.810220
WT,-2.326420,10.136960
WT,-1.452200,11.535820
WT,-1.094900,12.515290
WT,-1.099600,13.350000
WT,-2.380380,11.327200
WT,-1.773590,12.137690
WT,-1.752400,11.599270
WT,-1.640590,11.602670
WT,-2.417720,11.570260
WT,-1.138460,12.585310
WT,-1.460660,12.554340
WT,-2.848970,10.629160
WT,-1.739460,10.481290
WT,-2.268980,10.976000
WT,-2.040790,11.438500
WT,-1.841440,11.668470
WT,-2.211410,11.159020
WT,-2.507020,10.973360
WT,-2.361770,10.543880
WT,-2.718290,9.815080
WT,-2.365370,10.917360
WT,-2.938890,9.986090
WT,-2.213930,11.618080
WT,-2.645400,9.372030
WT,-1.905420,10.046640
WT,-2.095990,9.654150
WT,-2.202140,10.371790
WT,-2.011370,10.808150
WT,-0.804230,12.045130
WT,-1.986500,10.607540
WT,-1.902220,10.086390
WT,-1.250340,12.457390
WT,-1.062110,12.887410
WT,-1.604370,12.041640
WT,-2.061970,11.230620
WT,-1.964570,11.147380
WT,-1.636360,12.820130
WT,-1.167700,13.610490
WT,-1.920240,11.184080
WT,-2.185240,11.380870
WT,-1.903250,12.083560
WT,-2.615260,10.758100
WT,-1.641580,12.348960
WT,-1.035390,13.275560
WT,-1.521440,12.575310
WT,-1.842040,12.790050
WT,-0.967470,13.192270
WT,-1.315900,12.733320
WT,-0.904630,12.286250
WT,53.254590,-1.926760
WT,-1.891950,12.451520
WT,-0.774490,14.000070
WT,-0.554050,13.560200
WT,-1.170420,13.537960
WT,-1.599900,11.607820
WT,-1.783160,12.029450
WT,-1.720930,11.756670
WT,-1.957810,12.013470
WT,-1.359830,13.287330
WT,-1.733980,11.674790
WT,-1.628130,11.394660
WT,-1.649080,11.562810
WT,-2.151120,11.311930
WT,-2.608640,10.061350
WT,54.264590,2.854890
WT,-2.369270,10.425230
WT,-2.576370,8.425920
WT,-2.355920,9.642980
WT,-2.867960,8.458720
WT,-2.500220,7.583190
WT,56.369270,2.322290
WT,-2.631410,5.382570
WT,-1.490270,7.865950
WT,-1.346690,9.590460
WT,53.375430,2.895250
WT,-1.947480,8.327660
WT,-0.762900,10.218220
WT,-1.566110,10.333960
WT,-0.666280,11.834280
WT,-1.668900,10.168820
WT,-1.870380,9.210090
WT,-2.640450,8.691340
WT,-1.936750,9.882480
WT,-3.021700,7.693500
WT,-3.539470,4.766460
WT,-2.877250,5.571320
WT,-1.772920,7.317190
WT,-1.347540,7.573770
WT,-1.261960,10.259000
WT,-2.374260,10.596270
WT,-2.298210,9.572630
WT,-2.437640,7.463800
WT,-1.980360,9.317340
WT,-2.155940,8.552500
WT,-2.325320,8.449350
WT,-3.201430,7.055840
WT,-3.031230,7.449860
WT,-2.808170,8.094450
WT,-3.449770,7.110890
WT,-3.569160,9.901020
WT,-4.073360,8.976220
WT,-3.374900,8.217780
WT,-2.435300,10.539630
WT,-1.861000,9.404340
WT,51.956390,2.979120
WT,50.249460,1.010160
WT,-2.147640,10.688940
WT,-1.194300,13.799590
WT,-0.813210,12.644140
WT,-1.190540,13.320440
WT,-0.320130,13.978920
WT,-0.900820,13.066230
WT,-0.634360,12.774290
WT,-0.605200,13.380060
WT,-0.914440,12.023750
WT,-2.574170,9.320410
WT,-1.210120,11.894640
WT,-2.006670,11.037550
WT,-2.170350,11.607130
WT,-2.008690,11.648410
WT,-1.676670,11.210380
WT,-1.209640,10.428940
WT,-1.943760,8.174110
WT,-2.634550,8.190990
WT,-2.967440,8.348850
WT,-3.547830,7.094680
WT,-2.683640,7.682270
WT,-2.172100,10.927030
WT,-1.245510,12.087210
WT,-1.716570,12.000290
WT,-2.230540,11.892620
WT,-2.615820,10.090570
WT,-2.145300,10.989600
WT,-1.645200,12.654740
WT,-2.145910,9.962110
WT,-3.211720,8.442560
WT,-2.215140,10.621330
WT,-2.553100,9.132730
WT,-2.212390,10.361530
WT,-2.781840,9.883820
WT,-1.904030,11.205520
WT,-1.947950,9.898600
WT,-2.802770,9.585730
WT,-2.187750,10.040860
WT,-0.954380,11.325530
WT,-1.418290,10.080040
WT,-1.356320,11.460120
WT,-1.081960,10.349170
WT,-2.275080,9.525220
WT,-1.555270,10.365490
WT,-2.273060,10.870700
WT,-0.966780,12.625020
WT,-1.512600,12.902140
WT,-1.660780,11.531620
WT,-1.853750,10.858340
WT,-0.632340,12.819490
WT,-1.010560,12.553660
WT,-0.731400,11.141700
WT,-1.360250,11.760930
WT,-1.091820,12.409020
WT,-0.799080,11.722900
WT,-0.654720,11.707730
WT,-0.251540,12.004200
WT,-1.245710,10.944080
WT,-1.037430,11.855830
WT,-1.719150,12.578990
WT,-1.659000,12.567730
WT,-1.384110,10.974880
WT,-2.746880,9.701470
WT,-2.407200,7.485770
WT,-2.145390,10.461910
WT,-2.305500,9.107580
WT,-1.353120,10.537000
WT,-1.250230,11.187250
WT,-1.229870,11.064930
WT,-1.252340,11.000140
WT,-2.112910,10.429680
WT,-1.892070,10.688270
WT,-2.005380,9.416600
WT,-2.389300,9.140710
WT,-2.169930,9.293960
WT,-2.117340,10.573510
WT,-2.480510,8.539800
WT,-2.878630,10.830380
WT,-1.984560,10.174400
WT,-3.106640,9.362790
WT,-3.515200,8.073140
WT,-4.492730,6.398090
WT,-3.785530,8.522960
WT,-3.514570,8.894960
WT,-4.274710,8.231430
WT,-4.285460,7.520900
WT,-4.547160,8.040810
WT,-3.470360,9.969380
WT,-3.507410,11.938200
WT,-1.891690,13.750770
WT,-2.843390,11.640550
WT,-3.423230,10.479560
WT,-3.027720,11.649380
WT,-2.874690,12.148270
WT,-2.386610,11.948410
WT,-2.595070,12.528380
WT,-1.928800,12.690320
WT,-2.663330,11.410030
WT,-2.479450,12.828780
WT,-1.831510,13.408130
WT,-2.629790,13.200970
WT,-3.109050,11.302660
WT,-3.217310,11.248670
WT,-2.570740,13.015370
WT,-2.985680,11.820410
WT,-2.554090,10.835500
WT,-3.048130,10.725520
WT,-2.427540,11.695350
WT,-2.926120,11.270730
WT,-3.027890,10.168850
WT,-3.564230,8.375710
WT,-3.398870,7.421780
WT,-3.095420,8.423270
WT,-2.840520,8.459030
WT,-1.978170,10.950890
WT,-1.984370,10.655740
WT,-2.845090,11.559820
WT,-3.067930,10.470010
WT,-2.953470,11.413690
WT,-2.640800,11.690110
WT,-3.306220,9.900670
WT,-2.843580,10.246680
WT,-3.092180,8.921230
WT,-3.555020,9.104550
WT,-2.981240,10.237700
WT,-3.746650,9.280520
WT,-2.287330,10.831540
WT,-2.963030,8.019690
WT,-2.983780,8.889780
WT,-3.128980,7.714130
WT,-2.163260,9.534030
WT,-3.024350,8.071780
WT,-3.490770,7.169640
WT,-3.180000,7.801110
WT,-2.712420,8.536310
WT,-2.576830,7.776050
WT,-3.991140,5.999880
WT,-4.070780,4.986200
WT,-3.830870,4.143370
WT,-3.856390,4.532190
WT,-3.905810,5.424520
WT,-2.705010,6.003570
WT,-3.731030,3.023930
WT,-3.153100,4.194180
WT,-4.401600,2.357270
WT,-4.197880,1.964700
WT,-4.597700,0.200960
WT,-4.141180,1.242830
WT,-4.115220,3.532460
WT,-3.338350,2.501590
WT,-3.548210,4.667340
WT,-4.187240,3.973360
WT,-3.702250,3.667070
WT,-3.073760,2.591720
WT,-3.935420,2.404680
WT,-4.463620,4.195100
WT,-4.880110,2.820130
WT,-4.358610,4.123330
WT,-4.892350,3.896280
WT,-4.217570,3.965950
WT,-3.885820,4.288710
WT,-3.837630,4.542130
WT,-4.653680,3.241620
WT,-4.506630,3.614710
WT,-4.291420,1.438160
WT,-4.920090,1.759050
WT,-3.782960,4.057420
WT,-4.131340,0.971270
WT,-3.887700,4.246910
WT,-3.716860,2.727000
WT,-3.804910,1.466740
WT,-3.961470,2.088240
WT,-3.545010,2.840670
WT,-3.381930,4.451510
WT,-4.251000,3.084330
WT,-4.078990,1.005740
WT,-3.981800,2.528360
WT,-4.055210,6.224610
WT,-3.536460,5.902660
WT,-3.463550,7.611240
WT,-3.069520,7.793730
WT,-3.724380,6.603230
WT,-3.412650,7.809200
WT,-3.106260,7.129880
WT,-3.714080,5.066100
WT,-3.630250,6.010050
WT,-2.899970,5.392410
WT,-3.023030,4.291710
WT,-2.468560,4.380320
WT,-2.333270,5.592350
WT,-2.996300,5.482110
WT,-2.529160,5.440430
WT,-2.547210,5.970840
WT,-1.723340,8.231830
WT,-1.688330,6.460660
WT,-1.970990,7.092120
WT,-2.004400,7.784790
WT,-1.072090,9.401990
WT,-2.531040,7.880710
WT,-2.551040,8.942260
WT,-1.790670,9.975520
WT,-1.516880,9.904790
WT,-2.185780,10.471170
WT,-2.013040,9.542880
WT,-2.616130,7.254600
WT,-1.747770,9.513530
WT,-2.334380,7.881680
WT,-2.190840,9.484560
WT,-2.995620,7.611250
WT,-3.700890,7.097100
WT,-3.264100,7.135000
WT,-2.859360,7.344540
WT,-1.894930,10.495720
WT,-1.784460,7.020770
WT,-1.259670,8.874270
WT,-0.474180,11.985100
WT,-0.236550,13.250740
WT,-0.622830,12.051050
WT,-0.943890,13.470710
WT,-0.725600,12.539140
WT,-0.745420,12.941930
WT,-1.098360,10.855620
WT,-0.296580,12.217860
WT,-0.229970,8.894100
WT,-1.135870,8.602730
WT,-1.394300,10.886980
WT,-0.611840,11.731770
WT,-0.575430,12.989740
WT,-1.151100,11.169600
WT,-0.999510,10.280520
WT,-0.767440,11.223610
WT,-1.100490,9.774910
WT,-0.324890,7.436370
WT,-1.366430,6.083880
WT,-1.262300,6.259050
WT,-2.721540,3.231400
WT,-2.616890,4.387520
WT,-3.213540,3.982770
WT,-2.975300,4.426900
WT,-2.600250,3.405560
WT,-2.363710,3.550520
WT,-3.227660,0.148450
WT,-3.050280,3.212910
WT,-4.636050,-0.955570
WT,-3.649890,1.267460
WT,-4.836790,-0.521160
WT,-4.471550,0.906320
WT,-3.541500,0.534920
WT,-2.973750,2.950650
WT,-4.205940,0.907950
WT,-3.175480,0.826770
WT,-3.653400,0.610290
WT,-2.854230,-3.175780
WT,-4.079980,-5.367390
WT,-3.193470,-0.470220
WT,-3.001100,2.839190
WT,-3.859780,0.781680
WT,-3.301280,1.963990
WT,-2.562620,0.267950
WT,-3.194520,1.349930
WT,-3.832790,-0.646700
WT,-4.766530,-1.118040
WT,-4.624940,-2.396380
WT,-5.737390,-2.041790
WT,-4.773720,0.369550
WT,-5.454680,-1.007620
WT,-4.653880,-1.103330
WT,64.261340,-3.357560
WT,-4.424060,-0.124730
WT,-4.769410,0.020020
WT,-3.389100,2.593380
WT,-4.010910,2.286190
WT,-3.064270,-0.553940
WT,-4.376930,0.221560
WT,-4.677650,0.327760
WT,-4.457900,-2.213070
WT,-5.476550,-3.581270
WT,-4.664540,-1.051220
WT,-2.510730,2.175130
WT,-2.760520,0.925730
WT,-4.260850,0.038190
WT,62.500970,-1.686610
WT,-4.498700,0.211330
WT,-4.750240,0.457000
WT,-4.919490,-1.800270
WT,-5.583690,-1.001540
WT,-4.480130,1.881100
WT,-4.959380,1.018000
WT,-4.350400,1.620770
WT,-5.173910,1.000650
WT,-5.553900,1.165730
WT,-4.874320,0.672300
WT,-5.119600,1.535610
WT,-5.291530,2.314430
WT,-5.071710,2.539430
WT,-4.667850,2.892210
WT,-5.019360,2.061020
WT,-4.109400,3.343140
WT,-4.226550,2.764120
WT,-4.585510,2.412370
WT,-5.687320,-1.803840
WT,-4.992500,-1.418130
WT,-5.108610,-0.644310
WT,-4.986740,-2.927210
WT,-4.810700,0.745900
WT,-4.507560,0.300130
WT,-3.642690,1.436640
WT,-5.044970,-1.097950
WT,-5.666700,-3.104300
WT,-5.211660,-2.192490
WT,-5.045440,-0.794300
WT,-5.223760,-3.646070
WT,-5.433730,-1.349040
WT,66.427570,0.135920
WT,-5.490600,-0.149240
WT,-4.984520,1.690140
WT,-5.104330,0.631200
WT,-5.325870,-0.871140
WT,-4.876400,-0.400190
WT,-4.895680,-0.886980
WT,-4.959910,-1.103620
WT,-3.985490,0.012200
WT,-3.983950,1.165700
WT,-5.099120,1.455060
WT,-5.359440,-2.415790
WT,-5.123870,-2.985720
WT,-5.841180,-3.510250
WT,-5.721370,-2.603890
WT,-5.699460,-1.485920
WT,-4.749420,-2.228730
WT,-3.590660,-2.990180
WT,-4.017790,-1.360360
WT,-5.270040,-5.026380
WT,-4.687040,-4.299010
WT,-4.016240,-2.488920
WT,-3.370760,-0.899850
WT,-3.380640,0.342690
WT,-2.729160,1.654660
WT,-3.925510,2.858270
WT,-3.942920,3.490600
WT,-3.775710,2.210120
WT,-3.813710,3.496280
WT,-3.680900,2.398830
WT,-3.333030,-0.316300
WT,-3.993540,-0.577760
WT,-3.409920,1.853990
WT,-3.453180,-0.268060
WT,-3.536470,-1.370010
WT,-4.836990,-1.203770
WT,-3.719480,-1.363330
WT,-4.057060,-3.480340
WT,-3.841790,-3.502360
WT,-3.522260,0.297380
WT,-4.005020,1.329080
WT,-3.978140,2.212910
WT,-2.829080,0.165580
WT,-3.434690,1.024770
WT,-3.269370,-2.271700
WT,-3.616590,-0.119460
WT,-4.806270,0.890220
WT,-4.928730,-0.665530
WT,-4.983620,0.373470
WT,-5.374160,0.437960
WT,-4.990270,0.761180
WT,-3.788980,-0.005840
WT,-3.517560,0.281800
WT,-3.203480,-0.586690
WT,-4.852430,0.212300
WT,-3.998990,2.299570
WT,-4.643430,1.869400
WT,-4.297960,2.623750
WT,-4.397930,0.451110
WT,-4.580040,-0.174760
WT,-5.101250,-0.370940
WT,-4.981420,-0.063240
WT,-4.360240,2.349280
WT,-5.594030,3.595950
WT,-5.002180,3.662080
WT,-5.456720,1.921730
WT,-4.688700,3.500120
WT,-5.064950,4.427660
WT,-4.781400,4.589000
WT,-4.168620,7.705140
WT,-5.221560,4.855650
WT,-4.715570,4.009600
WT,-4.708320,2.929680
WT,-4.290860,4.202200
WT,-4.994540,0.929120
WT,-4.425270,2.219680
WT,-4.279800,2.937610
WT,-3.792570,3.058390
WT,-4.778230,1.627690
WT,-5.518460,-0.480890
WT,-5.157160,-0.906490
WT,-4.818010,-0.904700
WT,-4.685260,-0.314940
WT,-4.709670,2.016140
WT,-4.440440,0.525050
WT,-4.567550,-0.516560
WT,-4.264080,2.073840
WT,-2.825990,1.891210
WT,-3.369870,2.750090
WT,-2.790730,5.301410
WT,-2.372230,2.862180
WT,-2.920300,3.455930
WT,-4.316710,2.115630
