Time_ns,WT,D111A,T110A_D111A,T60A_S63A
0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
0.10000000,0.44954435,0.42015475,0.36997968,0.62510451
0.20000000,0.38709010,0.37828361,0.36270822,0.58460786
0.30000000,0.37381998,0.33650553,0.30102028,0.56613824
0.40000000,0.33818927,0.32143586,0.27841224,0.56084641
0.50000000,0.36325855,0.29993191,0.28461898,0.54292621
0.60000000,0.33596726,0.27177429,0.26196318,0.52926332
0.70000000,0.32834217,0.28466613,0.23942934,0.51793216
0.80000000,0.33501642,0.28418627,0.25484337,0.52172378
0.90000000,0.30754731,0.23667838,0.25314452,0.52376439
1.00000000,0.30896054,0.27476400,0.21772635,0.51234449
1.10000000,0.29585399,0.26640362,0.20775879,0.51739791
1.20000000,0.28648114,0.26700069,0.19960980,0.50703915
1.30000000,0.27190534,0.26872332,0.21013785,0.48368527
1.40000000,0.27842007,0.24614558,0.19577475,0.47384481
1.50000000,0.26874888,0.24516276,0.17479717,0.46039261
1.60000000,0.28139641,0.23235857,0.17076807,0.45983528
1.70000000,0.26559471,0.23749742,0.13779685,0.46984838
1.80000000,0.27508178,0.23292607,0.14307836,0.46324142
1.90000000,0.24757838,0.23807822,0.12156786,0.44626330
2.00000000,0.23212071,0.24200229,0.14435726,0.45213125
2.10000000,0.22911086,0.23303242,0.14655026,0.44198176
2.20000000,0.23879383,0.21978930,0.17443243,0.43517442
2.30000000,0.21443796,0.24775255,0.16724851,0.44020793
2.40000000,0.22393380,0.22903486,0.15213248,0.43510758
2.50000000,0.23470144,0.23082030,0.13143057,0.42821630
2.60000000,0.22775225,0.20064475,0.11682088,0.41425649
2.70000000,0.21878588,0.19511630,0.14074232,0.41985893
2.80000000,0.20915544,0.21230501,0.10694665,0.40740573
2.90000000,0.18904943,0.18175404,0.10656540,0.41744775
3.00000000,0.19967180,0.21690365,0.09700345,0.41246274
3.10000000,0.21708798,0.16886219,0.11491220,0.41720643
3.20000000,0.22162267,0.17214966,0.09752686,0.40000612
3.30000000,0.21402540,0.16877140,0.11333325,0.42423663
3.40000000,0.18490561,0.20367154,0.10557934,0.41346780
3.50000000,0.19586018,0.16066643,0.09112613,0.42578763
3.60000000,0.18224317,0.17266730,0.07846774,0.41401990
3.70000000,0.17746212,0.16873377,0.08263319,0.41453549
3.80000000,0.17642299,0.18371439,0.09080178,0.39794333
3.90000000,0.17441193,0.16846628,0.06630617,0.41128207
4.00000000,0.17039530,0.16469790,0.09757915,0.41254637
4.10000000,0.17647615,0.16956245,0.08021762,0.41010578
4.20000000,0.16300519,0.17186658,0.03602701,0.39201781
4.30000000,0.16108189,0.17187778,0.03927779,0.38883072
4.40000000,0.15753704,0.16043252,0.05319667,0.38352148
4.50000000,0.16851790,0.18044668,0.06527299,0.39985783
4.60000000,0.17228894,0.16282726,0.04941730,0.37826565
4.70000000,0.18152927,0.16619258,0.05449470,0.39029707
4.80000000,0.16024951,0.15591503,0.02955101,0.37785497
4.90000000,0.15821160,0.14321807,0.04552975,0.37986387
5.00000000,0.16370508,0.12474477,0.04316286,0.38954984
5.10000000,0.15113144,0.13328726,0.01135548,0.39939888
5.20000000,0.15800411,0.13464828,0.01629501,0.37730361
5.30000000,0.16453121,0.16670338,-0.00128655,0.39297788
5.40000000,0.14062675,0.11796269,0.00899231,0.40033652
5.50000000,0.13673502,0.15773159,-0.02730337,0.36840240
5.60000000,0.13864063,0.16056701,0.03621226,0.37886669
5.70000000,0.17529658,0.14063069,0.03046790,0.36773741
5.80000000,0.13736920,0.14236329,0.05819898,0.37467569
5.90000000,0.17336887,0.14961402,0.02651624,0.37817038
6.00000000,0.12544570,0.13964507,0.04889469,0.37295098
6.10000000,0.12928356,0.11991536,0.04497953,0.37105901
6.20000000,0.12807308,0.12409519,0.04411846,0.37502919
6.30000000,0.11611267,0.11850202,0.03930461,0.37918575
6.40000000,0.13796495,0.12211312,0.02744682,0.38354229
6.50000000,0.14769460,0.11090245,0.02114034,0.36664180
6.60000000,0.11662599,0.14783575,0.03500349,0.35490658
6.70000000,0.10642002,0.13191080,0.04696054,0.37596752
6.80000000,0.09379401,0.14244865,0.06527487,0.34556991
6.90000000,0.13265887,0.13901598,0.08224246,0.35737024
7.00000000,0.09508888,0.12244340,0.06389738,0.35417465
7.10000000,0.12068572,0.13766667,0.04541178,0.35846435
7.20000000,0.11680978,0.10320701,0.07634269,0.35151656
7.30000000,0.09559455,0.14446238,0.02710700,0.33428964
7.40000000,0.08957445,0.11727620,0.03116369,0.37039721
7.50000000,0.08801785,0.12408625,0.01945165,0.34781054
7.60000000,0.12069621,0.10179384,0.01673220,0.37821602
7.70000000,0.10323374,0.10986049,0.01945803,0.35215296
7.80000000,0.11535866,0.09460854,0.03952736,0.35124818
7.90000000,0.11045063,0.12288056,0.00845702,0.35468565
8.00000000,0.10400027,0.12590737,0.01879948,0.34922595
8.10000000,0.09782273,0.10048074,0.00768129,0.35125816
8.20000000,0.11849820,0.07829207,0.02529041,0.34776935
8.30000000,0.12902480,0.09944370,0.03127448,0.34127113
8.40000000,0.09069894,0.12620074,0.03668064,0.34607095
8.50000000,0.10653817,0.13209097,0.03715840,0.33459523
8.60000000,0.09825131,0.09735841,0.03475709,0.32943095
8.70000000,0.10707662,0.12046534,0.00696086,0.33984452
8.80000000,0.10032792,0.08635277,0.00099644,0.34102968
8.90000000,0.08376639,0.10531921,0.01625937,0.35828039
9.00000000,0.10714347,0.10710552,0.04840713,0.36193895
9.10000000,0.10455610,0.11396561,0.02396716,0.32471791
9.20000000,0.11380027,0.12210853,0.03139343,0.34264409
9.30000000,0.09599377,0.10862942,0.03086637,0.32659244
9.40000000,0.08628412,0.11213906,0.06715253,0.32319947
9.50000000,0.07764830,0.08803672,0.03316063,0.31782370
9.60000000,0.08279359,0.07361520,0.03697343,0.32750527
9.70000000,0.08890413,0.06356858,0.01563791,0.30442721
9.80000000,0.09517135,0.09184166,0.00223449,0.31247203
9.90000000,0.09594758,0.06772392,0.02427633,0.30169769
10.00000000,0.08637160,0.08811281,0.03658064,0.30428892
10.10000000,0.08314186,0.09514172,0.04845018,0.29585043
10.20000000,0.08359805,0.08752781,0.03034638,0.30346527
10.30000000,0.08378767,0.10671171,0.02183689,0.29151747
10.40000000,0.08331324,0.08481799,0.04446459,0.29061450
10.50000000,0.07719606,0.08165893,0.04553623,0.29944643
10.60000000,0.07218142,0.06841703,0.03648596,0.30851826
10.70000000,0.06042644,0.06891928,0.03221824,0.29116639
10.80000000,0.05945393,0.06777850,0.02590121,0.28206313
10.90000000,0.07407087,0.07787480,0.02575863,0.28862795
11.00000000,0.04135312,0.07272230,0.01775286,0.28926630
11.10000000,0.05200824,0.10168323,-0.01349509,0.27912051
11.20000000,0.03201760,0.08111258,0.00792899,0.29557670
11.30000000,0.03198810,0.09341154,0.00658812,0.29845995
11.40000000,0.04196809,0.08718526,0.01612467,0.31918155
11.50000000,0.03575286,0.08770517,0.00613058,0.28396511
11.60000000,0.03130368,0.05730972,0.03112040,0.28870400
11.70000000,0.04816568,0.07274047,-0.00272563,0.29926363
11.80000000,0.06563083,0.09324481,0.01322127,0.28101260
11.90000000,0.03113103,0.08710897,-0.00498858,0.27208611
12.00000000,0.02241961,0.06279723,-0.01501983,0.27639573
12.10000000,0.00511119,0.09082277,-0.02938563,0.29336132
12.20000000,0.00258550,0.08787135,-0.00283432,0.27938010
12.30000000,0.00273667,0.06356066,-0.02771707,0.30147295
12.40000000,0.01644434,0.07356774,-0.02018215,0.29049084
12.50000000,0.01544805,0.06512759,-0.01356972,0.30508738
12.60000000,-0.00433772,0.08318733,-0.02561838,0.29751624
12.70000000,0.00736417,0.08577224,0.02333736,0.26501679
12.80000000,0.00815355,0.07850874,-0.03656106,0.28299879
12.90000000,-0.00756971,0.05728924,-0.04077841,0.29404681
13.00000000,-0.00846301,0.07877884,-0.04057373,0.31360565
13.10000000,0.00327449,0.07450803,-0.01739194,0.29842765
13.20000000,-0.01580875,0.07269740,-0.04434509,0.28184549
13.30000000,0.00458382,0.06220066,-0.04050312,0.29284799
13.40000000,0.01741663,0.07715398,-0.00456955,0.31339652
13.50000000,0.01473043,0.09148523,0.01120502,0.29642651
13.60000000,0.00467127,0.07895620,0.01075753,0.29011016
13.70000000,-0.00221811,0.07838520,-0.00602874,0.28106793
13.80000000,-0.00528011,0.05896548,0.02045631,0.28566366
13.90000000,0.02810230,0.06538647,0.02279254,0.28629901
14.00000000,0.02639166,0.07697133,0.01361237,0.28926469
14.10000000,-0.00291395,0.07424227,-0.00531858,0.29294425
14.20000000,0.01505157,0.07293424,-0.00511118,0.28463291
