Time_ns,WT,D111A,T110A_D111A,T60A_S63A
0.000000,2.203666,2.202574,2.200753,2.233657
0.100000,2.221123,2.245384,2.242371,2.241754
0.200000,2.223215,2.231063,2.230480,2.215523
0.300000,2.213259,2.257106,2.231193,2.229312
0.400000,2.204579,2.221403,2.243446,2.249701
0.500000,2.248506,2.239761,2.253279,2.215017
0.600000,2.240079,2.220615,2.244828,2.243147
0.700000,2.249926,2.247861,2.253521,2.220935
0.800000,2.211215,2.231361,2.224098,2.239239
0.900000,2.235265,2.208382,2.260507,2.219128
1.000000,2.238652,2.237859,3.345130,2.192664
1.100000,2.249971,2.232651,2.261767,2.197414
1.200000,2.221826,2.225991,2.243119,2.274460
1.300000,2.248820,2.217458,2.215259,2.240752
1.400000,2.256288,2.223111,2.237259,2.219607
1.500000,2.216639,2.189743,2.217777,2.242784
1.600000,2.258245,2.167869,2.226920,2.234397
1.700000,2.236567,2.189156,2.231194,2.217618
1.800000,2.236871,2.203241,2.232230,2.225882
1.900000,2.245205,2.208952,2.219191,2.228296
2.000000,2.232027,2.210975,2.226043,2.234109
2.100000,2.203588,2.213700,2.245252,2.260972
2.200000,2.215891,2.206078,2.265270,2.277238
2.300000,2.202395,2.212078,2.231253,2.290361
2.400000,2.213404,2.210693,2.265697,2.256010
2.500000,2.201744,2.197525,2.305242,2.223734
2.600000,2.199164,2.200536,2.330056,2.188046
2.700000,2.213102,2.187950,2.318849,2.297394
2.800000,2.242896,2.211115,2.319275,2.231755
2.900000,2.223993,2.219540,2.350302,2.199964
3.000000,2.222371,2.212422,2.328701,2.173069
3.100000,2.238760,2.217486,2.337003,2.223457
3.200000,2.274844,2.233834,2.338961,2.233782
3.300000,2.228450,2.225749,2.300952,2.235015
3.400000,2.240063,2.194395,2.305046,2.217470
3.500000,2.247934,2.192621,2.323850,2.217771
3.600000,2.272876,2.184080,2.301299,2.237662
3.700000,2.252454,2.203081,2.331543,2.230956
3.800000,2.233923,2.190795,2.338681,2.242267
3.900000,2.238466,2.196695,2.309700,2.270949
4.000000,2.249209,2.169421,2.276032,2.271702
4.100000,2.245727,2.199151,2.302285,2.272470
4.200000,2.224842,2.208198,2.302149,2.241911
4.300000,2.240691,2.192956,2.302901,2.255734
4.400000,2.242230,2.227716,2.260389,2.272601
4.500000,2.226972,2.215058,2.251646,2.258630
4.600000,2.258247,2.180854,2.292170,2.272410
4.700000,2.267746,2.176780,2.268897,2.285516
4.800000,2.233088,2.216809,2.289883,2.290116
4.900000,2.221082,2.217417,2.268282,2.287962
5.000000,2.240876,2.205807,2.256581,2.296563
5.100000,2.243708,2.212888,2.197331,2.287175
5.200000,2.274004,2.229138,2.226741,2.312044
5.300000,3.231849,2.204269,2.234068,2.294243
5.400000,2.243387,2.196715,2.218011,2.305385
5.500000,2.266600,2.208518,2.237535,2.324494
5.600000,2.286605,2.205932,2.240474,2.316806
5.700000,2.276242,2.190919,2.236386,2.280844
5.800000,2.256763,2.215286,2.266203,2.281542
5.900000,2.228541,2.186460,2.281061,2.298612
6.000000,2.237978,2.221523,2.257970,2.317161
6.100000,2.270914,2.213900,2.300220,2.314134
6.200000,2.254872,2.195707,2.305998,2.312519
6.300000,2.248612,2.211061,2.371828,2.278625
6.400000,2.237633,2.212410,2.343536,2.304574
6.500000,2.238964,2.207350,2.343546,2.307980
6.600000,2.228661,2.184385,2.282554,2.302512
6.700000,2.227209,2.220541,2.292849,2.307571
6.800000,3.264910,2.209599,2.334309,2.304847
6.900000,2.232944,2.171188,2.278497,2.239887
7.000000,2.217143,2.205995,2.316097,2.290356
7.100000,2.208181,2.191405,2.319633,2.301365
7.200000,2.195844,2.211035,2.329330,2.310706
7.300000,2.216070,2.205341,2.324944,2.254861
7.400000,3.328448,2.203886,2.297798,2.323797
7.500000,2.216182,2.203922,2.336169,2.296152
