Time_ns,WT,D111A,T110A_D111A,T60A_S63A
0.000000,124.299000,124.890000,123.992000,129.243000
0.100000,124.824000,126.504000,128.387000,126.787000
0.200000,126.688000,126.934000,128.335000,126.701000
0.300000,127.728000,128.154000,127.729000,123.393000
0.400000,127.658000,129.976000,126.877000,128.583000
0.500000,130.202000,126.543000,124.934000,126.382000
0.600000,128.729000,127.181000,126.521000,126.144000
0.700000,128.091000,128.519000,129.632000,125.276000
0.800000,129.674000,123.448000,128.198000,126.939000
0.900000,130.109000,127.233000,126.526000,127.273000
1.000000,128.141000,130.044000,138.964000,127.026000
1.100000,129.787000,125.464000,127.590000,128.353000
1.200000,129.002000,128.676000,128.703000,127.873000
1.300000,131.831000,129.088000,124.771000,126.115000
1.400000,132.181000,126.851000,127.546000,127.345000
1.500000,129.456000,127.661000,126.064000,126.479000
1.600000,130.223000,125.887000,126.215000,128.088000
1.700000,128.931000,128.868000,126.939000,127.480000
1.800000,130.503000,129.562000,127.317000,129.649000
1.900000,127.845000,129.396000,127.488000,125.179000
2.000000,129.744000,131.010000,124.953000,126.828000
2.100000,127.870000,131.181000,125.860000,127.970000
2.200000,127.689000,127.871000,128.552000,128.415000
2.300000,129.034000,128.158000,126.398000,129.332000
2.400000,130.906000,131.074000,129.125000,125.436000
2.500000,130.652000,127.876000,128.745000,124.475000
2.600000,130.678000,131.563000,128.048000,127.854000
2.700000,129.985000,127.585000,126.859000,128.621000
2.800000,130.110000,128.423000,127.928000,129.559000
2.900000,127.791000,131.660000,129.428000,126.208000
3.000000,127.987000,129.413000,129.857000,130.171000
3.100000,128.661000,131.793000,126.117000,127.277000
3.200000,136.159000,128.368000,127.564000,128.348000
3.300000,131.761000,132.193000,127.670000,130.287000
3.400000,130.173000,128.223000,127.475000,131.392000
3.500000,130.954000,126.067000,125.786000,128.827000
3.600000,135.514000,126.841000,123.264000,127.568000
3.700000,133.651000,128.518000,127.141000,130.023000
3.800000,133.402000,127.764000,128.328000,130.153000
3.900000,133.618000,128.976000,127.844000,128.716000
4.000000,132.842000,127.546000,126.373000,132.262000
4.100000,130.549000,129.592000,126.937000,131.670000
4.200000,131.519000,132.257000,130.434000,128.967000
4.300000,133.680000,130.339000,128.044000,127.688000
4.400000,133.785000,130.215000,127.198000,132.110000
4.500000,133.643000,131.333000,128.752000,128.706000
4.600000,133.998000,131.182000,128.182000,128.846000
4.700000,134.457000,131.256000,126.307000,129.794000
4.800000,133.069000,127.554000,128.006000,133.174000
4.900000,130.976000,131.746000,125.062000,133.312000
5.000000,133.938000,131.554000,129.890000,131.997000
5.100000,134.114000,132.128000,126.579000,131.609000
5.200000,128.725000,130.866000,129.042000,132.229000
5.300000,133.225000,130.106000,128.396000,127.972000
5.400000,134.247000,128.478000,128.448000,129.619000
5.500000,134.268000,127.260000,131.151000,129.225000
5.600000,132.382000,130.323000,129.759000,129.759000
5.700000,130.929000,128.027000,127.248000,131.042000
5.800000,130.658000,129.778000,130.502000,130.773000
5.900000,133.689000,126.739000,131.155000,133.101000
6.000000,135.465000,128.761000,129.146000,129.655000
6.100000,136.187000,131.224000,130.104000,131.357000
6.200000,132.547000,127.700000,129.078000,132.617000
6.300000,130.981000,130.679000,134.996000,131.540000
6.400000,127.698000,131.276000,133.449000,129.509000
6.500000,127.909000,131.537000,130.516000,132.113000
6.600000,130.642000,132.742000,129.509000,133.706000
6.700000,131.768000,129.801000,129.721000,129.878000
6.800000,127.680000,129.605000,133.558000,131.065000
6.900000,127.124000,128.742000,130.885000,130.825000
7.000000,125.373000,134.982000,132.274000,130.504000
7.100000,126.846000,131.745000,130.307000,131.267000
7.200000,127.631000,129.301000,132.353000,132.373000
7.300000,131.383000,130.805000,130.248000,131.829000
7.400000,128.433000,129.928000,130.866000,132.565000
7.500000,128.541000,129.069000,130.702000,131.910000
7.600000,127.428000,132.027000,127.390000,130.369000
7.700000,132.089000,128.008000,127.967000,130.597000
7.800000,131.151000,128.817000,130.228000,129.968000
7.900000,133.086000,131.363000,128.908000,130.877000
8.000000,133.459000,132.694000,128.602000,130.830000
8.100000,134.091000,130.941000,132.895000,131.987000
8.200000,132.041000,128.988000,130.765000,129.699000
8.300000,132.161000,128.994000,135.092000,129.119000
8.400000,131.601000,128.092000,131.475000,130.364000
8.500000,132.656000,128.139000,130.806000,130.941000
8.600000,134.589000,126.623000,132.607000,130.258000
8.700000,131.651000,127.673000,128.469000,129.039000
8.800000,131.148000,126.859000,128.023000,130.822000
8.900000,130.910000,128.111000,129.902000,129.683000
9.000000,131.690000,128.542000,129.998000,132.757000
9.100000,134.959000,126.756000,130.409000,132.162000
9.200000,131.387000,130.299000,132.106000,134.370000
9.300000,131.383000,129.570000,132.378000,132.129000
9.400000,130.988000,128.488000,130.520000,130.127000
9.500000,131.533000,128.481000,130.975000,131.057000
9.600000,131.434000,129.470000,131.144000,133.382000
9.700000,135.573000,131.298000,131.841000,133.957000
9.800000,133.815000,128.320000,138.829000,132.665000
9.900000,131.682000,131.375000,134.003000,135.088000
10.000000,133.982000,129.228000,137.021000,132.554000
10.100000,134.470000,130.575000,133.180000,132.367000
10.200000,130.921000,130.175000,132.400000,129.798000
10.300000,130.972000,129.886000,137.453000,126.749000
10.400000,129.023000,130.315000,138.370000,132.165000
10.500000,127.861000,128.746000,137.254000,131.873000
10.600000,130.018000,128.431000,138.891000,132.552000
10.700000,132.606000,128.317000,132.637000,131.196000
10.800000,128.397000,129.701000,135.137000,133.862000
10.900000,132.266000,130.790000,132.647000,132.644000
11.000000,131.674000,127.988000,134.300000,134.143000
11.100000,131.101000,130.359000,132.538000,132.153000
11.200000,129.998000,129.963000,133.434000,135.074000
11.300000,127.466000,131.946000,133.109000,132.316000
11.400000,133.429000,134.703000,136.085000,129.881000
11.500000,131.972000,131.428000,137.834000,133.898000
11.600000,127.988000,130.584000,133.294000,132.802000
11.700000,129.804000,129.655000,131.703000,132.626000
11.800000,128.939000,129.805000,131.871000,132.850000
11.900000,128.423000,128.029000,130.969000,129.121000
12.000000,130.367000,131.123000,129.564000,129.988000
12.100000,130.020000,128.004000,127.960000,130.879000
12.200000,131.725000,130.820000,128.958000,132.609000
12.300000,133.801000,129.808000,130.446000,130.039000
12.400000,133.122000,130.536000,131.905000,131.552000
12.500000,132.662000,130.528000,131.943000,132.428000
12.600000,132.478000,130.598000,133.199000,129.108000
12.700000,126.653000,131.428000,139.149000,130.395000
12.800000,130.760000,127.962000,131.275000,133.748000
12.900000,132.442000,131.151000,136.849000,131.350000
13.000000,132.899000,130.881000,131.067000,131.235000
13.100000,132.524000,130.769000,135.628000,131.908000
13.200000,130.651000,133.834000,130.222000,132.612000
13.300000,130.256000,129.147000,133.581000,130.965000
13.400000,132.254000,130.760000,136.265000,134.078000
13.500000,132.894000,131.737000,134.399000,132.911000
13.600000,132.244000,130.637000,129.007000,132.412000
13.700000,130.546000,129.274000,133.988000,132.196000
13.800000,132.385000,128.231000,130.122000,131.533000
13.900000,127.871000,130.286000,132.140000,133.085000
14.000000,130.126000,128.830000,128.786000,131.034000
14.100000,130.650000,130.639000,131.982000,131.727000
14.200000,131.733000,130.619000,131.663000,130.092000
14.300000,131.060000,129.670000,129.469000,127.069000
14.400000,129.782000,130.729000,128.578000,126.601000
14.500000,129.712000,128.371000,130.923000,125.475000
14.600000,129.638000,129.397000,131.984000,129.491000
14.700000,136.384000,125.997000,130.789000,128.229000
14.800000,131.457000,128.168000,133.071000,127.635000
14.900000,134.116000,128.642000,133.358000,130.428000
15.000000,131.054000,127.417000,133.632000,133.317000
