Time_ns,WT,D111A,T110A_D111A,T60A_S63A
0.000000,3.380000,3.375000,3.380000,3.425000
0.100000,3.417000,3.471000,3.466000,3.466000
0.200000,3.417000,3.438000,3.441000,3.390000
0.300000,3.400000,3.502000,3.443000,3.430000
0.400000,3.366000,3.405000,3.474000,3.472000
0.500000,3.476000,3.448000,3.501000,3.406000
0.600000,3.467000,3.391000,3.477000,3.462000
0.700000,3.487000,3.466000,3.493000,3.407000
0.800000,3.386000,3.422000,3.425000,3.453000
0.900000,3.438000,3.368000,3.512000,3.397000
1.000000,3.455000,3.438000,3.478000,3.342000
1.100000,3.478000,3.429000,3.514000,3.338000
1.200000,3.402000,3.410000,3.475000,3.531000
1.300000,3.482000,3.388000,3.408000,3.468000
1.400000,3.491000,3.409000,3.448000,3.406000
1.500000,3.382000,3.324000,3.418000,3.473000
1.600000,3.491000,3.261000,3.420000,3.438000
1.700000,3.438000,3.308000,3.439000,3.388000
1.800000,3.438000,3.348000,3.442000,3.413000
1.900000,3.465000,3.350000,3.398000,3.416000
2.000000,3.424000,3.359000,3.421000,3.450000
2.100000,3.366000,3.364000,3.481000,3.514000
2.200000,3.400000,3.348000,3.506000,3.544000
2.300000,3.368000,3.358000,3.434000,3.576000
2.400000,3.394000,3.349000,3.512000,3.502000
2.500000,3.354000,3.336000,3.622000,3.420000
2.600000,3.355000,3.333000,3.683000,3.315000
2.700000,3.375000,3.305000,3.661000,3.584000
2.800000,3.456000,3.381000,3.657000,3.422000
2.900000,3.418000,3.379000,3.725000,3.350000
3.000000,3.406000,3.369000,3.677000,3.269000
3.100000,3.448000,3.371000,3.703000,3.405000
3.200000,3.542000,3.422000,3.705000,3.432000
3.300000,3.428000,3.380000,3.606000,3.436000
3.400000,3.456000,3.328000,3.623000,3.388000
3.500000,3.469000,3.329000,3.660000,3.391000
3.600000,3.518000,3.301000,3.609000,3.441000
3.700000,3.475000,3.323000,3.683000,3.423000
3.800000,3.426000,3.317000,3.693000,3.451000
3.900000,3.440000,3.327000,3.631000,3.530000
4.000000,3.470000,3.272000,3.558000,3.518000
4.100000,3.471000,3.331000,3.620000,3.525000
4.200000,3.413000,3.356000,3.596000,3.454000
4.300000,3.436000,3.309000,3.610000,3.487000
4.400000,3.446000,3.397000,3.508000,3.525000
4.500000,3.393000,3.375000,3.479000,3.495000
4.600000,3.484000,3.280000,3.591000,3.527000
4.700000,3.512000,3.269000,3.524000,3.568000
4.800000,3.440000,3.371000,3.574000,3.579000
4.900000,3.399000,3.375000,3.536000,3.571000
5.000000,3.454000,3.344000,3.508000,3.570000
5.100000,3.455000,3.364000,3.344000,3.549000
5.200000,3.535000,3.409000,3.424000,3.628000
5.300000,3.574000,3.344000,3.441000,3.584000
5.400000,3.435000,3.317000,3.400000,3.613000
5.500000,3.509000,3.368000,3.451000,3.651000
5.600000,3.568000,3.347000,3.445000,3.639000
5.700000,3.528000,3.304000,3.449000,3.547000
5.800000,3.492000,3.377000,3.510000,3.540000
5.900000,3.433000,3.303000,3.550000,3.588000
6.000000,3.433000,3.393000,3.508000,3.631000
6.100000,3.497000,3.367000,3.615000,3.633000
6.200000,3.476000,3.321000,3.629000,3.620000
6.300000,3.465000,3.378000,3.784000,3.541000
6.400000,3.452000,3.362000,3.722000,3.607000
6.500000,3.455000,3.359000,3.716000,3.611000
6.600000,3.418000,3.287000,3.569000,3.594000
6.700000,3.413000,3.387000,3.592000,3.609000
6.800000,3.500000,3.356000,3.689000,3.603000
6.900000,3.427000,3.244000,3.540000,3.436000
7.000000,3.394000,3.351000,3.647000,3.567000
7.100000,3.384000,3.297000,3.654000,3.594000
7.200000,3.334000,3.366000,3.675000,3.618000
7.300000,3.380000,3.341000,3.653000,3.475000
7.400000,3.385000,3.353000,3.598000,3.636000
7.500000,3.388000,3.350000,3.693000,3.577000
7.600000,3.469000,3.392000,3.679000,3.443000
7.700000,3.518000,3.371000,3.716000,3.550000
7.800000,3.598000,3.404000,3.688000,3.594000
7.900000,3.481000,3.470000,3.673000,3.452000
8.000000,3.544000,3.389000,3.603000,3.316000
8.100000,3.498000,3.474000,3.767000,3.403000
8.200000,3.550000,3.422000,3.700000,3.382000
8.300000,3.432000,3.381000,3.731000,3.381000
8.400000,3.487000,3.356000,3.623000,3.430000
8.500000,3.398000,3.382000,3.653000,3.391000
8.600000,3.456000,3.385000,3.679000,3.264000
